	Run	BioProject	Tissue	Sex	Species	Total sleep time per day (hr)	Platform	Instrument	LibrarySelection	Type
410	SRR7970290	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
411	SRR7970291	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
412	SRR7970292	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
413	SRR7970293	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
414	SRR7970294	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
415	SRR7970295	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
416	SRR7970296	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
417	SRR7970297	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
418	SRR7970298	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
419	SRR7970299	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
420	SRR7970300	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
421	SRR7970301	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
422	SRR7970302	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
423	SRR7970303	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
424	SRR7970304	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
425	SRR7970305	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
